year,month,category,runs,mbases,mbytes
2023,12,wastewater_metagenome,4373,4697011,1732249
2023,12,wastewater_shotgun_metagenomic,265,1553620,602432
2024,1,all_sra,439036,1459087928,491681130
2024,1,wastewater_metagenome,3394,3691542,1184202
2024,1,wastewater_shotgun_metagenomic,344,2164216,701843
2024,2,all_sra,299321,1301573986,436360593
2024,2,wastewater_metagenome,5315,8301550,1916992
2024,2,wastewater_shotgun_metagenomic,186,1732522,537347
2024,3,all_sra,292296,1205034102,449225989
2024,3,wastewater_metagenome,8348,6916234,2126600
2024,3,wastewater_shotgun_metagenomic,181,651772,259222
2024,4,all_sra,296636,1064826267,403216331
2024,4,wastewater_metagenome,10174,6393893,2243291
2024,4,wastewater_shotgun_metagenomic,144,346518,133133
2024,5,all_sra,333994,2030558062,872190607
2024,5,wastewater_metagenome,7690,3999100,1326723
2024,5,wastewater_shotgun_metagenomic,107,630171,201259
2024,6,all_sra,344995,1326721907,512914411
2024,6,wastewater_metagenome,9525,5754904,1833076
2024,6,wastewater_shotgun_metagenomic,292,1623377,502223
2024,7,all_sra,934358,2024054351,735643676
2024,7,wastewater_metagenome,9778,23160847,4731128
2024,7,wastewater_shotgun_metagenomic,723,7349547,2305711
2024,8,all_sra,392465,1723010563,591567105
2024,8,wastewater_metagenome,5443,11177301,3444110
2024,8,wastewater_shotgun_metagenomic,539,3246535,991952
2024,9,all_sra,399278,1557239020,569185165
2024,9,wastewater_metagenome,10328,12291661,3803641
2024,9,wastewater_shotgun_metagenomic,5112,8417531,2626343
2024,10,all_sra,542121,1612539029,625895891
2024,10,wastewater_metagenome,5439,11607619,5373675
2024,10,wastewater_shotgun_metagenomic,1105,6240074,3680782
2024,11,all_sra,400367,2142710888,604916047
2024,11,wastewater_metagenome,3445,4688843,1594554
2024,11,wastewater_shotgun_metagenomic,253,723480,308698
2024,12,all_sra,364018,1512181935,528847951
2024,12,casper_rothman_PRJNA1198001,20,6566309,2035658
2024,12,wastewater_metagenome,8404,11567085,3696427
2024,12,wastewater_shotgun_metagenomic,291,7820681,2499916
2025,1,all_sra,448272,1842793168,560305616
2025,1,casper_rothman_PRJNA1198001,20,6566309,2035655
2025,1,wastewater_metagenome,8297,15533920,6245604
2025,1,wastewater_shotgun_metagenomic,296,9022383,3963562
2025,2,all_sra,355814,1345118064,503864756
2025,2,wastewater_metagenome,4484,5076538,1755222
2025,2,wastewater_shotgun_metagenomic,479,1939101,700353
2025,3,all_sra,380537,1517313302,557227825
2025,3,wastewater_metagenome,8906,7185113,2925802
2025,3,wastewater_shotgun_metagenomic,817,2530354,1412024
2025,4,all_sra,453027,2066062600,733784302
2025,4,casper_PRJNA1247874,213,49497083,14720356
2025,4,wastewater_metagenome,5352,66369447,20123625
2025,4,wastewater_shotgun_metagenomic,1127,62638694,18848878
2025,5,all_sra,487788,1639573629,628438405
2025,5,wastewater_metagenome,5921,14354232,6588637
2025,5,wastewater_shotgun_metagenomic,823,7757249,4465367
2025,6,all_sra,487965,1682444607,593117036
2025,6,wastewater_metagenome,9605,10157418,3401959
2025,6,wastewater_shotgun_metagenomic,385,2921026,934259
2025,7,all_sra,499521,1765663186,620245684
2025,7,wastewater_metagenome,3914,7235349,2286262
2025,7,wastewater_shotgun_metagenomic,520,3105818,1012589
2025,8,all_sra,409068,1720686929,641514481
2025,8,wastewater_metagenome,4573,7849450,2608001
2025,8,wastewater_shotgun_metagenomic,240,2033705,702074
2025,9,all_sra,536257,2268140660,830793249
2025,9,wastewater_metagenome,6325,12380682,4041509
2025,9,wastewater_shotgun_metagenomic,708,7341126,2306426
2025,10,all_sra,379069,1463745319,537183444
2025,10,wastewater_metagenome,3212,4995204,1659711
2025,10,wastewater_shotgun_metagenomic,135,565426,171987
2025,11,all_sra,448843,2031164185,753285260
2025,11,casper_PRJNA1247874,150,38970547,10421343
2025,11,wastewater_metagenome,6614,48611448,13553587
2025,11,wastewater_shotgun_metagenomic,1428,44282988,12137206
2025,12,all_sra,626345,3416050903,1318263337
2025,12,casper_PRJNA1247874,173,59405591,15652415
2025,12,wastewater_metagenome,6769,74055979,21253694
2025,12,wastewater_shotgun_metagenomic,1027,63515386,17368346
2026,1,all_sra,450788,2075645853,738773139
2026,1,casper_PRJNA1247874,109,18921429,5232106
2026,1,wastewater_metagenome,4397,28083429,8698988
2026,1,wastewater_shotgun_metagenomic,768,22559646,6803367
2026,2,all_sra,437992,2092389338,747088298
2026,2,casper_PRJNA1247874,567,169354708,46936253
2026,2,wastewater_metagenome,8103,184018088,51872574
2026,2,wastewater_shotgun_metagenomic,898,171566054,47689269
2026,3,all_sra,571550,2840814726,1008204740
2026,3,casper_PRJNA1247874,68,21719977,6052946
2026,3,wastewater_metagenome,3639,33770217,9931582
2026,3,wastewater_shotgun_metagenomic,492,28613250,8285011
