sra_accession,site_name,sequencing_lab,date,n_reads_virus_10239_total,n_reads_virus_annotated,n_reads_virus_not_annotated,n_reads_virus_vertebrate_7742_status_0,n_reads_virus_vertebrate_7742_status_1,n_reads_virus_vertebrate_7742_status_2,n_reads_virus_vertebrate_7742_status_3,n_reads_virus_invertebrate_33208m7742_status_0,n_reads_virus_invertebrate_33208m7742_status_1,n_reads_virus_invertebrate_33208m7742_status_2,n_reads_virus_invertebrate_33208m7742_status_3,n_reads_virus_plant_33090_status_0,n_reads_virus_plant_33090_status_1,n_reads_virus_plant_33090_status_2,n_reads_virus_plant_33090_status_3,n_reads_virus_fungi_4751_status_0,n_reads_virus_fungi_4751_status_1,n_reads_virus_fungi_4751_status_2,n_reads_virus_fungi_4751_status_3,n_reads_virus_bacteria_2_status_0,n_reads_virus_bacteria_2_status_1,n_reads_virus_bacteria_2_status_2,n_reads_virus_bacteria_2_status_3,n_reads_virus_archaea_2157_status_0,n_reads_virus_archaea_2157_status_1,n_reads_virus_archaea_2157_status_2,n_reads_virus_archaea_2157_status_3,n_reads_virus_other_eukaryote_2759mMFP_status_0,n_reads_virus_other_eukaryote_2759mMFP_status_1,n_reads_virus_other_eukaryote_2759mMFP_status_2,n_reads_virus_other_eukaryote_2759mMFP_status_3,n_reads_virus_virus_10239_status_0,n_reads_virus_virus_10239_status_1,n_reads_virus_virus_10239_status_2,n_reads_virus_virus_10239_status_3,n_reads_virus_metagenome_408169_status_0,n_reads_virus_metagenome_408169_status_1,n_reads_virus_metagenome_408169_status_2,n_reads_virus_metagenome_408169_status_3,n_reads_virus_unclassified_2787823m408169_status_0,n_reads_virus_unclassified_2787823m408169_status_1,n_reads_virus_unclassified_2787823m408169_status_2,n_reads_virus_unclassified_2787823m408169_status_3,n_reads_virus_other_entries_2787854_status_0,n_reads_virus_other_entries_2787854_status_1,n_reads_virus_other_entries_2787854_status_2,n_reads_virus_other_entries_2787854_status_3,n_reads_virus_host_root_1_status_0,n_reads_virus_host_root_1_status_1,n_reads_virus_host_root_1_status_2,n_reads_virus_host_root_1_status_3,n_reads_virus_unknown,n_reads_virus_vertebrate_7742_exclusive,n_reads_virus_invertebrate_33208m7742_exclusive,n_reads_virus_plant_33090_exclusive,n_reads_virus_fungi_4751_exclusive,n_reads_virus_bacteria_2_exclusive,n_reads_virus_archaea_2157_exclusive,n_reads_virus_other_eukaryote_2759mMFP_exclusive,n_reads_virus_virus_10239_exclusive,n_reads_virus_metagenome_408169_exclusive,n_reads_virus_unclassified_2787823m408169_exclusive,n_reads_virus_other_entries_2787854_exclusive,n_reads_virus_host_root_1_exclusive,n_reads_virus_unknown_exclusive,fraction_virus_annotated,fraction_virus_not_annotated,fraction_virus_vertebrate_7742_status_0,fraction_virus_vertebrate_7742_status_1,fraction_virus_vertebrate_7742_status_2,fraction_virus_vertebrate_7742_status_3,fraction_virus_invertebrate_33208m7742_status_0,fraction_virus_invertebrate_33208m7742_status_1,fraction_virus_invertebrate_33208m7742_status_2,fraction_virus_invertebrate_33208m7742_status_3,fraction_virus_plant_33090_status_0,fraction_virus_plant_33090_status_1,fraction_virus_plant_33090_status_2,fraction_virus_plant_33090_status_3,fraction_virus_fungi_4751_status_0,fraction_virus_fungi_4751_status_1,fraction_virus_fungi_4751_status_2,fraction_virus_fungi_4751_status_3,fraction_virus_bacteria_2_status_0,fraction_virus_bacteria_2_status_1,fraction_virus_bacteria_2_status_2,fraction_virus_bacteria_2_status_3,fraction_virus_archaea_2157_status_0,fraction_virus_archaea_2157_status_1,fraction_virus_archaea_2157_status_2,fraction_virus_archaea_2157_status_3,fraction_virus_other_eukaryote_2759mMFP_status_0,fraction_virus_other_eukaryote_2759mMFP_status_1,fraction_virus_other_eukaryote_2759mMFP_status_2,fraction_virus_other_eukaryote_2759mMFP_status_3,fraction_virus_virus_10239_status_0,fraction_virus_virus_10239_status_1,fraction_virus_virus_10239_status_2,fraction_virus_virus_10239_status_3,fraction_virus_metagenome_408169_status_0,fraction_virus_metagenome_408169_status_1,fraction_virus_metagenome_408169_status_2,fraction_virus_metagenome_408169_status_3,fraction_virus_unclassified_2787823m408169_status_0,fraction_virus_unclassified_2787823m408169_status_1,fraction_virus_unclassified_2787823m408169_status_2,fraction_virus_unclassified_2787823m408169_status_3,fraction_virus_other_entries_2787854_status_0,fraction_virus_other_entries_2787854_status_1,fraction_virus_other_entries_2787854_status_2,fraction_virus_other_entries_2787854_status_3,fraction_virus_host_root_1_status_0,fraction_virus_host_root_1_status_1,fraction_virus_host_root_1_status_2,fraction_virus_host_root_1_status_3,fraction_virus_unknown,fraction_virus_vertebrate_7742_exclusive,fraction_virus_invertebrate_33208m7742_exclusive,fraction_virus_plant_33090_exclusive,fraction_virus_fungi_4751_exclusive,fraction_virus_bacteria_2_exclusive,fraction_virus_archaea_2157_exclusive,fraction_virus_other_eukaryote_2759mMFP_exclusive,fraction_virus_virus_10239_exclusive,fraction_virus_metagenome_408169_exclusive,fraction_virus_unclassified_2787823m408169_exclusive,fraction_virus_other_entries_2787854_exclusive,fraction_virus_host_root_1_exclusive,fraction_virus_unknown_exclusive
SAMN55279291,"Central Oklahoma (OK-A), OK",MU,2025-12-16,303118,303118,0,296163,4488,2452,15,300379,272,2446,21,132395,168256,2424,43,300649,2,2467,0,283955,16683,1094,1386,300650,1,2467,0,300635,16,2466,1,300594,50,2474,0,297214,3426,2478,0,303118,0,0,0,303118,0,0,0,189116,111530,2390,82,0,4503,292,168296,2,18069,1,17,0,3426,0,0,107580,932,1.0,0.0,0.9770551402424138,0.014806115110287,0.0080892589684545,4.948567884454239e-05,0.9909639150429864,0.0008973403097143,0.0080694646969167,6.927995038235934e-05,0.4367770967082126,0.5550841586444882,0.007996885701278,0.000141858946021,0.9918546572621884,6.598090512605652e-06,0.008138744647299,0.0,0.9367803957534688,0.0550379720109,0.0036091555103952,0.0045724767252357,0.9918579563074448,3.299045256302826e-06,0.008138744647299,0.0,0.9918084706286,5.278472410084522e-05,0.0081354456020427,3.299045256302826e-06,0.9916732097730916,0.0001649522628151,0.0081618379640931,0.0,0.980522436806788,0.0113025290480934,0.0081750341451184,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6239022426909653,0.3679425174354542,0.0078847181625637,0.0002705217110168,0.0,0.0148556007891316,0.0009633212148404,0.5552161204547404,6.598090512605652e-06,0.0596104487361357,3.299045256302826e-06,5.608376935714804e-05,0.0,0.0113025290480934,0.0,0.0,0.354911288673058,0.0030747101788742
SAMN55279292,"Central Oklahoma (OK-A), OK",MU,2025-12-23,256301,256301,0,251711,3515,1066,9,254980,246,1049,26,168598,86628,1050,25,255224,2,1075,0,249985,5237,805,274,255226,0,1075,0,255214,12,1075,0,255154,71,1076,0,252318,2901,1082,0,256301,0,0,0,256301,0,0,0,95075,160148,959,119,0,3524,271,86652,2,5511,0,12,0,2901,0,0,156802,626,1.0,0.0,0.9820913691323871,0.0137143436818428,0.0041591722232843,3.511496248551508e-05,0.994845903839626,0.000959808974604,0.0040928439608117,0.0001014432249581,0.6578124939036524,0.3379932189105778,0.00409674562331,9.75415624597641e-05,0.9957979094892334,7.803324996781128e-06,0.0041942871857698,0.0,0.9753570996601651,0.0204330065040713,0.0031408383112044,0.001069055524559,0.99580571281423,0.0,0.0041942871857698,0.0,0.9957588928642496,4.6819949980686774e-05,0.0041942871857698,0.0,0.995524793114346,0.0002770180373857,0.0041981888482682,0.0,0.9844596782689105,0.011318722907831,0.0042215988232585,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3709505620344829,0.624843445792252,0.0037416943359565,0.0004642978373084,0.0,0.0137494586443283,0.0010573505370638,0.3380868588105392,7.803324996781128e-06,0.0215020620286304,0.0,4.6819949980686774e-05,0.0,0.011318722907831,0.0,0.0,0.6117884830726372,0.0024424407239924
SAMN55279293,"Central Oklahoma (OK-A), OK",MU,2025-12-30,247527,247527,0,242033,4139,1350,5,245915,257,1331,24,123673,122499,1298,57,246166,6,1355,0,235855,10310,655,707,246169,3,1355,0,246154,18,1353,2,246145,23,1359,0,243708,2457,1362,0,247527,0,0,0,247527,0,0,0,136711,109458,1294,64,0,4144,281,122556,6,11017,3,20,0,2457,0,0,106540,503,1.0,0.0,0.9778044415356708,0.0167214081696138,0.0054539504781296,2.0199816585665403e-05,0.9934875791327816,0.0010382705725032,0.0053771911751041,9.695911961119392e-05,0.4996343833197995,0.4948914663854852,0.0052438723856387,0.0002302779090765,0.9945016099253818,2.4239779902798483e-05,0.0054741502947153,0.0,0.9528455481624228,0.041652021799642,0.0026461759727221,0.002856254065213,0.9945137298153331,1.2119889951399242e-05,0.0054741502947153,0.0,0.9944531303655764,7.271933970839545e-05,0.005466070368081,8.079926634266162e-06,0.994416770695722,9.291915629406085e-05,0.0054903101479838,0.0,0.9845713800918688,0.0099261898701959,0.0055024300379352,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5523074250485805,0.4422063047667527,0.0052277125323702,0.0002585576522965,0.0,0.0167416079861994,0.0011352296921143,0.4951217442945618,2.4239779902798483e-05,0.0445082758648551,1.2119889951399242e-05,8.079926634266161e-05,0.0,0.0099261898701959,0.0,0.0,0.4304176918073584,0.0020321015485179
SAMN54680429,"Central Oklahoma (OK-B), OK",MU,2025-08-18,321456,321456,0,317137,686,3611,22,317380,443,3610,23,105907,211916,3520,113,317788,35,3633,0,296391,21416,1234,2415,317812,11,3633,0,317793,30,3630,3,317144,669,3643,0,315620,2183,3653,0,321456,0,0,0,321456,0,0,0,234391,83426,3235,404,10,708,465,211994,4,23831,11,33,0,2183,0,0,81548,679,1.0,0.0,0.9865642576277937,0.0021340401174655,0.0112332636503907,6.843860435020655e-05,0.987320193121298,0.0013781046239609,0.0112301528047384,7.154945000248867e-05,0.329460330496242,0.659237967249017,0.010950176696033,0.0003515255587078,0.9885894181474292,0.0001088795978298,0.0113017022547409,0.0,0.9220266537255488,0.0666218704892738,0.0038387835349161,0.0075126922502613,0.988664078443084,3.421930217510328e-05,0.0113017022547409,0.0,0.9886049723756906,9.33253695684635e-05,0.011292369717784,9.332536956846348e-06,0.9865860335473596,0.0020811557413767,0.0113328107112637,0.0,0.9818451047732816,0.0067909760589318,0.0113639191677865,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7291542232840575,0.2595254093872878,0.0100635856851326,0.0012567816435219,3.110845652282116e-05,0.0022024787218157,0.0014465432283111,0.6594806132098949,1.2443382609128466e-05,0.0741345627395351,3.421930217510328e-05,0.0001026579065253,0.0,0.0067909760589318,0.0,0.0,0.253683241252302,0.0021122641978995
SAMN54680430,"Central Oklahoma (OK-B), OK",MU,2025-08-26,229555,229555,0,225937,885,2714,19,226031,791,2708,25,83375,143447,2613,120,226799,23,2733,0,211289,15487,1273,1506,226820,2,2732,1,226780,42,2733,0,226670,109,2776,0,225685,1130,2740,0,229555,0,0,0,229555,0,0,0,160644,66175,2151,585,11,904,813,143553,8,16993,3,41,0,1130,0,0,65575,535,1.0,0.0,0.9842390712465422,0.0038552852257628,0.0118228746923395,8.276883535536147e-05,0.9846485591688268,0.0034457973034784,0.0117967371653852,0.0001089063623096,0.3632027183028032,0.6248916381695019,0.0113828929886083,0.0005227505390864,0.9879941626189802,0.0001001938533249,0.0119056435276948,0.0,0.9204286554420508,0.0674653133236043,0.0055455119688092,0.0065605192655354,0.9880856439633204,8.71250898477489e-06,0.0119012872732025,4.356254492387445e-06,0.9879113937836248,0.0001829626886802,0.0119056435276948,0.0,0.9874322057894622,0.0004748317396702,0.0120929624708675,0.0,0.9831412951144606,0.0049225675763978,0.0119361373091416,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6998061466750888,0.2882751410337392,0.0093703034131253,0.0025484088780466,4.79187994162619e-05,0.0039380540611182,0.0035416349023109,0.6253534011456949,3.485003593909956e-05,0.0740258325891398,1.3068763477162336e-05,0.0001786064341878,0.0,0.0049225675763978,0.0,0.0,0.2856613883383067,0.0023305961534272
SAMN54680431,"Central Oklahoma (OK-B), OK",MU,2025-09-01,264116,264116,0,262043,337,1728,8,262084,295,1725,12,150320,112059,1641,96,262367,12,1737,0,252492,9875,1144,605,262377,2,1737,0,262352,27,1737,0,262183,189,1744,0,260603,1763,1750,0,264116,0,0,0,264116,0,0,0,122571,139804,1335,406,4,345,306,112145,3,10480,2,27,0,1763,0,0,138420,625,1.0,0.0,0.992151175998425,0.0012759545048387,0.0065425797755531,3.028972118311651e-05,0.9923064108194884,0.0011169334686274,0.0065312211301094,4.5434581774674766e-05,0.5691438610307592,0.4242794832573566,0.0062131790576867,0.0003634766541973,0.9933779097063412,4.5434581774674766e-05,0.0065766557118841,0.0,0.9559890351209316,0.0373888745854094,0.0043314301291856,0.0022906601644731,0.99341577185782,7.572430295779127e-06,0.0065766557118841,0.0,0.9933211164791228,0.000102227808993,0.0065766557118841,0.0,0.9926812461191294,0.0007155946629511,0.0066031592179193,0.0,0.986699026185464,0.0066750973057293,0.0066258765088067,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4640801768919717,0.5293280225355526,0.0050545972224325,0.0015372033500431,1.5144860591558254e-05,0.0013062442260218,0.0011585818352542,0.4246050977600751,1.1358645443668692e-05,0.0396795347498826,7.572430295779127e-06,0.000102227808993,0.0,0.0066750973057293,0.0,0.0,0.5240879007708734,0.0023663844674309
SAMN54680432,"Central Oklahoma (OK-B), OK",MU,2025-09-09,280675,280675,0,278333,524,1804,14,278366,491,1792,26,167703,111154,1752,66,278797,60,1818,0,265452,13380,1043,800,278854,3,1818,0,278843,14,1816,2,278319,514,1842,0,276964,1879,1832,0,280675,0,0,0,280675,0,0,0,125505,153351,1557,262,3,538,517,111174,14,14180,3,16,0,1879,0,0,151678,676,1.0,0.0,0.991655829696268,0.0018669279415694,0.0064273626079985,4.987975416406876e-05,0.991773403402512,0.0017493542353255,0.0063846085330008,9.2633829161842e-05,0.5974988866126303,0.3960238710252071,0.0062420949496748,0.0002351474124877,0.9933089872628484,0.0002137703749888,0.0064772423621626,0.0,0.9457628930257416,0.0476707936225171,0.0037160416852231,0.0028502716665182,0.993512069119088,1.0688518749443309e-05,0.0064772423621626,0.0,0.9934728778836732,4.987975416406876e-05,0.0064701166829963,7.125679166295538e-06,0.9916059499421038,0.0018312995457379,0.0065627505121581,0.0,0.9867783023069386,0.0066945755767346,0.0065271221163267,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4471541818829607,0.5463650129152935,0.005547341230961,0.0009334639707847,1.0688518749443309e-05,0.0019168076957334,0.0018419880644873,0.39609512781687,4.987975416406876e-05,0.0505210652890353,1.0688518749443309e-05,5.70054333303643e-05,0.0,0.0066945755767346,0.0,0.0,0.5404043822926873,0.0024084795582078
SAMN54680433,"Central Oklahoma (OK-B), OK",MU,2025-09-16,258395,258395,0,255494,530,2363,8,254969,1054,2291,81,174887,81136,2304,68,255897,126,2372,0,241700,14298,1211,1186,256019,4,2372,0,256008,15,2366,6,255793,211,2391,0,252654,3345,2396,0,258395,0,0,0,258395,0,0,0,96860,159157,1909,469,3,538,1135,81085,7,15484,4,21,0,3345,0,0,156195,581,1.0,0.0,0.9887730025735793,0.0020511232802492,0.0091449137947715,3.096035139998839e-05,0.986741229512955,0.0040790262969484,0.0088662706321716,0.0003134735579248,0.6768203719112212,0.3139998838986823,0.0089165812031966,0.0002631629868999,0.9903326302753536,0.0004876255345498,0.0091797441900965,0.0,0.9353896166721491,0.0553338880396292,0.0046866231931732,0.0045898720950482,0.9908047756342034,1.5480175699994194e-05,0.0091797441900965,0.0,0.9907622051510284,5.805065887497823e-05,0.0091565239265465,2.3220263549991297e-05,0.9899301457071538,0.0008165792681746,0.0092532750246715,0.0,0.9777820778265832,0.0129452969291201,0.0092726252442965,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3748524545753594,0.615944580970994,0.0073879138528222,0.0018150506008243,1.1610131774995649e-05,0.0020820836316492,0.0043924998548733,0.3138025116585073,2.709030747498984e-05,0.0599237601346775,1.5480175699994194e-05,8.127092242496952e-05,0.0,0.0129452969291201,0.0,0.0,0.6044815108651483,0.0022484955204241
SAMN54680434,"Central Oklahoma (OK-B), OK",MU,2025-09-23,266057,266057,0,263775,429,1839,14,263784,420,1826,27,198303,65901,1797,56,264168,36,1853,0,258833,5355,1594,275,264194,10,1852,1,264194,10,1825,28,263922,270,1865,0,255180,9004,1873,0,266057,0,0,0,266057,0,0,0,72062,192138,1433,424,2,443,446,65923,1,5630,11,38,0,9004,0,0,183515,1046,1.0,0.0,0.9914228905835968,0.0016124364327944,0.0069120526804406,5.262030316811811e-05,0.9914567179213476,0.0015786090950435,0.0068631909703559,0.0001014820132527,0.745340284224809,0.2476950427915822,0.0067541917709363,0.0002104812126724,0.9929000176653876,0.0001353093510037,0.0069646729836087,0.0,0.9728479235652512,0.0201272659618051,0.0059911973749985,0.0010336130979451,0.9929977410855568,3.758593083437008e-05,0.0069609143905253,3.758593083437008e-06,0.9929977410855568,3.758593083437008e-05,0.0068594323772725,0.0001052406063362,0.991975403766862,0.0010148201325279,0.00700977610061,0.0,0.9591177830314556,0.0338423721232668,0.0070398448452775,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2708517347786376,0.7221685578654198,0.0053860638885652,0.0015936434673772,7.517186166874016e-06,0.0016650567359625,0.0016763325152129,0.2477777318394178,3.758593083437008e-06,0.0211608790597503,4.134452391780708e-05,0.0001428265371706,0.0,0.0338423721232668,0.0,0.0,0.6897582097069425,0.0039314883652751
SAMN54680435,"Central Oklahoma (OK-B), OK",MU,2025-09-30,276259,276259,0,273785,924,1533,17,273845,864,1503,47,163147,111562,1456,94,274631,78,1550,0,265281,9415,985,578,274706,3,1550,0,274682,27,1542,8,274189,511,1559,0,272328,2371,1560,0,276259,0,0,0,276259,0,0,0,122653,152052,1270,284,2,941,911,111579,1,9993,3,35,0,2371,0,0,149888,537,1.0,0.0,0.9910446356498792,0.0033446874128987,0.0055491404804911,6.153645673082145e-05,0.9912618231442234,0.0031274999185546,0.005440546733319,0.0001701302039028,0.5905581356625486,0.4038311874002295,0.0052704165294162,0.0003402604078057,0.9941069793201308,0.0002823437426472,0.0056106769372219,0.0,0.960261928118179,0.0340803376541578,0.0035654946988152,0.0020922395288479,0.9943784636880608,1.0859374717203785e-05,0.0056106769372219,0.0,0.9942915886903232,9.773437245483403e-05,0.0055817186046427,2.895833257921009e-05,0.9925070314451294,0.001849713493497,0.0056432550613735,0.0,0.9857705993288908,0.0085825258181633,0.0056468748529459,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4439782957297319,0.5503965481667565,0.0045971352969496,0.0010280208065619,7.239583144802522e-06,0.0034062238696295,0.0032976301224575,0.4038927238569603,3.619791572401261e-06,0.0361725771830058,1.0859374717203785e-05,0.000126692705034,0.0,0.0085825258181633,0.0,0.0,0.5425633192040802,0.0019438280743794
SAMN54680436,"Central Oklahoma (OK-B), OK",MU,2025-10-07,331083,331083,0,325261,1674,4122,26,325968,967,4117,31,133338,193597,4022,126,326880,55,4148,0,292725,34141,1805,2412,326920,15,4148,0,326903,32,4137,11,326103,769,4211,0,325522,1407,4154,0,331083,0,0,0,331083,0,0,0,230312,96618,3662,491,8,1700,997,193673,9,36553,15,43,0,1407,0,0,95558,1128,1.0,0.0,0.9824152855930386,0.0050561339603664,0.0124500502895044,7.853015709051809e-05,0.9845507017877692,0.0029207177656358,0.0124349483362178,9.36321103771562e-05,0.40273284946675,0.584738570086655,0.0121480112237716,0.0003805692228232,0.987305298067252,0.000166121486153,0.0125285804465949,0.0,0.8841438551662272,0.1031191574318222,0.0054518051364763,0.0072851822654742,0.9874261136935452,4.530585985991428e-05,0.0125285804465949,0.0,0.9873747670523706,9.66525010344838e-05,0.0124953561493643,3.32242972306038e-05,0.9849584545265084,0.0023226804154849,0.0127188650580066,0.0,0.9832036075546012,0.0042496896548599,0.0125467027905389,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6956322130704385,0.2918241045296799,0.0110606705871337,0.0014830118127478,2.416312525862095e-05,0.0051346641174569,0.0030113294853556,0.5849681197766119,2.718351591594857e-05,0.1104043396972964,4.530585985991428e-05,0.000129876798265,0.0,0.0042496896548599,0.0,0.0,0.2886224904329126,0.0034070006614655
SAMN54680437,"Central Oklahoma (OK-B), OK",MU,2025-10-14,456986,456985,1,452104,1289,3565,27,452653,740,3574,18,243031,210362,3487,105,453360,33,3592,0,428969,24394,1661,1961,453376,17,3592,0,453369,24,3579,13,451889,1481,3615,0,451888,1498,3599,0,456985,0,0,0,456985,0,0,0,236666,216720,2952,647,10,1316,758,210439,6,26355,17,37,0,1498,0,0,215698,861,0.9999978117491564,2.1882508435707003e-06,0.9893169593816878,0.0028206553373626,0.0078011142573295,5.9082772776408905e-05,0.9905183090948082,0.0016193056242423,0.0078208085149216,3.9388515184272606e-05,0.5318127907638308,0.4603248239552196,0.007630430691531,0.0002297663385749,0.9920654024412128,7.221227783783311e-05,0.0078601970301059,0.0,0.9386917761156796,0.0533801910780636,0.0036346846511709,0.0042911599042421,0.9921004144547098,3.7200264340701905e-05,0.0078601970301059,0.0,0.9920850966988048,5.25180202456968e-05,0.0078317497691395,2.8447260966419106e-05,0.9888464854503202,0.0032407994993282,0.007910526799508,0.0,0.9888442971994764,0.0032779997636689,0.0078755147860109,0.0,0.9999978117491564,0.0,0.0,0.0,0.9999978117491564,0.0,0.0,0.0,0.5178845741445033,0.4742377228186421,0.0064597164902207,0.0014157982957902,2.1882508435707003e-05,0.002879738110139,0.0016586941394265,0.4604933192701745,1.31295050614242e-05,0.0576713509823058,3.7200264340701905e-05,8.096528121211591e-05,0.0,0.0032779997636689,0.0,0.0,0.4720013304565129,0.0018840839763143
SAMN54680438,"Central Oklahoma (OK-B), OK",MU,2025-10-21,357205,357205,0,351479,1379,4324,23,352423,435,4337,10,145679,207179,4219,128,352838,20,4347,0,318515,34311,1816,2563,352843,15,4347,0,352828,30,4338,9,351628,1212,4365,0,351128,1715,4362,0,357205,0,0,0,357205,0,0,0,243190,109654,3869,492,5,1402,444,207297,13,36874,15,39,0,1715,0,0,108246,1160,1.0,0.0,0.9839699892218754,0.0038605282680813,0.0121050937136938,6.43887963494352e-05,0.986612729385087,0.0012177881048697,0.0121414873811956,2.799512884758052e-05,0.4078302375386682,0.5800002799512884,0.0118111448607942,0.000358337649249,0.9877745272322616,5.5990257695161045e-05,0.0121694825100432,0.0,0.891686846488711,0.0960540865889335,0.0050839153987206,0.0071751515236348,0.9877885247966852,4.199269327137078e-05,0.0121694825100432,0.0,0.987746532103414,8.398538654274156e-05,0.0121442868940804,2.519561596282247e-05,0.9843871166417044,0.0033930096163267,0.0122198737419688,0.0,0.9829873601993252,0.00480116459736,0.0122114752033146,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6808135384443107,0.3069777858652594,0.0108313153511289,0.0013773603393009,1.399756442379026e-05,0.0039249170644307,0.0012429837208325,0.5803306224716899,3.6393667501854675e-05,0.1032292381125684,4.199269327137078e-05,0.0001091810025055,0.0,0.00480116459736,0.0,0.0,0.3030360717235201,0.0032474349463193
SAMN54680439,"Central Oklahoma (OK-B), OK",MU,2025-10-27,322471,322471,0,318692,1529,2219,31,319759,462,2239,11,137773,182448,2074,176,320210,11,2250,0,306936,13270,1409,856,320218,3,2250,0,320184,37,2247,3,319435,777,2259,0,317640,2569,2262,0,322471,0,0,0,322471,0,0,0,197556,122659,1852,404,5,1560,472,182619,6,14126,3,40,0,2569,0,0,120287,789,1.0,0.0,0.9882811167515838,0.0047415116398063,0.0068812389331133,9.613267549640124e-05,0.991589941421089,0.0014326869703012,0.0069432600140787,3.411159453098108e-05,0.4272415193924415,0.5657811089989487,0.006431586096114,0.0005457855124956,0.9929885167968592,3.411159453098108e-05,0.0069773716086097,0.0,0.95182512536011,0.0411509872205562,0.0043693851540138,0.0026545022653199,0.9930133252292456,9.303162144813022e-06,0.0069773716086097,0.0,0.9929078893916042,0.000114738999786,0.0069680684464649,9.303162144813022e-06,0.9905851999094492,0.0024095189955065,0.0070052810950442,0.0,0.9850188078928028,0.0079666078500082,0.007014584257189,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6126318335602271,0.3803721885068735,0.0057431520973979,0.0012528258355014,1.5505270241355035e-05,0.0048376443153027,0.0014636975107839,0.5663113892412031,1.8606324289626044e-05,0.0438054894858762,9.303162144813022e-06,0.0001240421619308,0.0,0.0079666078500082,0.0,0.0,0.3730164883043746,0.0024467316440858
SAMN54680440,"Central Oklahoma (OK-B), OK",MU,2025-11-04,276422,276422,0,271095,1878,3437,12,272571,401,3441,9,94116,178856,3359,91,272954,18,3450,0,246910,26041,1184,2287,272967,5,3450,0,272930,42,3449,1,271873,1082,3467,0,271401,1563,3458,0,276422,0,0,0,276422,0,0,0,207054,65913,3141,314,5,1890,410,178928,10,28328,5,43,0,1563,0,0,64483,762,1.0,0.0,0.9807287408382837,0.0067939599597716,0.0124338873172178,4.341188472697542e-05,0.9860684026597016,0.001450680481293,0.0124483579454602,3.2558913545231564e-05,0.3404794119136682,0.6470396712273263,0.0121517100664925,0.0003292067925128,0.987453965313904,6.511782709046313e-05,0.0124809168590054,0.0,0.8932357048281251,0.0942074075145972,0.0042833059597282,0.0082735816975493,0.9875009948556916,1.8088285302906426e-05,0.0124809168590054,0.0,0.9873671415444502,0.0001519415965444,0.0124772992019448,3.617657060581285e-06,0.9835432780314156,0.0039143049395489,0.0125424170290353,0.0,0.9818357438988212,0.0056543979856885,0.01250985811549,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7490503650215974,0.2384506298340942,0.0113630608272858,0.0011359443170225,1.8088285302906426e-05,0.0068373718444986,0.0014832393948383,0.6473001425356882,3.617657060581285e-05,0.1024809892121466,1.8088285302906426e-05,0.0001555592536049,0.0,0.0056543979856885,0.0,0.0,0.233277380237463,0.0027566546801629
SAMN54680441,"Central Oklahoma (OK-B), OK",MU,2025-11-11,328468,328468,0,321355,1552,5546,15,322610,297,5550,11,143477,179430,5467,94,322897,10,5561,0,265706,57173,1846,3743,322880,27,5561,0,322855,52,5552,9,322270,621,5577,0,321589,1310,5569,0,328468,0,0,0,328468,0,0,0,238362,84534,5271,301,5,1567,307,179506,8,60916,27,61,0,1310,0,0,83345,1421,1.0,0.0,0.9783449224886442,0.0047249655978664,0.0168844453645408,4.56665489484516e-05,0.9821656904173314,0.0009041976691793,0.016896623110927,3.348880256219784e-05,0.4368066295651326,0.546263258521378,0.0166439348734123,0.0002861770400769,0.9830394437205452,3.04443659656344e-05,0.0169301119134892,0.0,0.8089250703264854,0.1740595735353215,0.0056200299572561,0.0113953261809369,0.9829876882984036,8.219978810721288e-05,0.0169301119134892,0.0,0.9829115773834894,0.0001583107030212,0.0169027119841202,2.739992936907096e-05,0.9811305819744998,0.0018905951264658,0.0169788228990343,0.0,0.97905732065224,0.0039882119414981,0.0169544674062617,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7256779960300547,0.2573584032538938,0.0160472253004858,0.0009163754155655,1.52221829828172e-05,0.0047706321468149,0.0009346420351449,0.5464946357027168,2.435549277250752e-05,0.1854548997162585,8.219978810721288e-05,0.0001857106323903,0.0,0.0039882119414981,0.0,0.0,0.2537385681405799,0.0043261444037166
