sra_accession,site_name,raw_n_read_pairs,raw_n_bases_approx,raw_mean_percent_gc,raw_mean_mean_seq_len,raw_mean_percent_duplicates,cleaned_n_read_pairs,cleaned_n_bases_approx,cleaned_mean_percent_gc,cleaned_mean_mean_seq_len,cleaned_mean_percent_duplicates
SAMN52958977,"Columbia WWTP, MO",14995050,4078000000.0,48.866647393639894,135.99996999009673,36.859681582303935,14847703,3816800000.0,49.13400449887771,128.551152929177,37.82704140875602
SAMN52958978,"Columbia WWTP, MO",8010601,2418800000.0,41.00016715350071,151.0,26.568579588973087,7894411,2251200000.0,40.4986369470756,142.61488558171092,28.17756567918559
SAMN52958979,"Columbia WWTP, MO",8010635,2419000000.0,39.99960427606551,151.0,18.356035072262465,7884597,2250300000.0,39.00346777393949,142.7287846163856,19.745898024124568
SAMN52958980,"Columbia WWTP, MO",8011278,2419000000.0,43.49999975035194,151.0,28.125938401613787,7919104,2252200000.0,43.50173024625008,142.21653118837685,29.740787786593117
SAMN52958981,"Columbia WWTP, MO",8010154,2418700000.0,40.49978764453218,151.0,17.674920568941694,7903285,2274500000.0,40.00294636976903,143.92338869217042,18.72934360560513
SAMN52958982,"Columbia WWTP, MO",8008966,2418200000.0,40.00004195298119,151.0,16.895744338812698,7884398,2273700000.0,39.62782776820754,144.21800364466634,18.042965297585344
SAMN52958983,"Columbia WWTP, MO",8009247,2418300000.0,37.99985054774812,151.0,18.86792292933653,7862196,2255000000.0,38.0104970672316,143.44438602141184,20.164312018381768
SAMN52958984,"Columbia WWTP, MO",7991383,2413000000.0,50.0,151.0,39.37187500647519,7897760,2268000000.0,50.0,143.60219454630175,40.53361290075266
SAMN52958985,"Columbia WWTP, MO",7988843,2412200000.0,51.0,151.0,41.89275719579072,7911493,2256700000.0,51.0,142.64617455896126,43.0657272855262
SAMN52958986,"Columbia WWTP, MO",7988854,2412300000.0,49.500001877615986,151.0,47.3886211681483,7892729,2225800000.0,49.49870380701022,141.02668829754575,48.8239865311635
SAMN52958987,"Columbia WWTP, MO",7988322,2412100000.0,50.0,151.0,65.53844830961302,7926639,2182900000.0,50.0,137.71448409597056,67.41685612046155
SAMN47830421,"Boston DITP North, MA (MU)",3995447,1206500000.0,50.0,151.0,30.352431581383037,3936240,1120800000.0,50.0,142.4012530994045,31.379695724471812
SAMN47830426,"Boston DITP North, MA (MU)",8005718,1600700000.0,51.0,100.0,62.50733564851672,7884529,1565100000.0,51.0,99.24287677805484,63.66170931290246
SAMN47830434,"Boston DITP North, MA (MU)",7992895,2413500000.0,51.0,151.0,54.24205293924095,7885192,2148600000.0,51.0,136.2507501402629,56.35330956258135
SAMN47830438,"Boston DITP North, MA (MU)",8015392,2420200000.0,48.87508034541542,151.0,54.87824011269111,7814282,2126600000.0,48.0,136.08495111898955,56.73058873128628
SAMN47830448,"Boston DITP North, MA (MU)",8018525,2421300000.0,50.250115326696616,151.0,51.27073491640667,7902948,2188800000.0,50.0,138.4998361370972,52.5222283305524
SAMN47830453,"Boston DITP North, MA (MU)",8015558,2420300000.0,50.37504700234219,151.0,63.23858016677236,7914738,2161100000.0,50.0,136.53619026934308,65.48922394074017
SAMN47830465,"Boston DITP North, MA (MU)",3998476,1207300000.0,51.0,151.0,33.79251673908018,3974790,1118600000.0,51.0,140.73112868855964,34.94959596016385
SAMN47830471,"Boston DITP North, MA (MU)",7996857,2414600000.0,49.0,151.0,72.70298366777916,7942582,2241700000.0,49.0,141.13011637777237,74.76948146530928
SAMN47830478,"Boston DITP North, MA (MU)",7993785,2413600000.0,50.0,151.0,75.48039370363482,7939637,2231200000.0,50.125000425082405,140.52254189958558,77.34025215036051
SAMN47830485,"Boston DITP North, MA (MU)",7998766,2415100000.0,50.0,151.0,55.7802390482294,7949113,2210400000.0,49.74979359332293,139.04709399652515,57.11099763294251
SAMN47830497,"Boston DITP North, MA (MU)",13981882,4221900000.0,51.0,151.0,63.46594372138441,13891135,4032200000.0,51.0,145.15600730249903,64.52378209811982
SAMN47830505,"Boston DITP North, MA (MU)",13984701,4222700000.0,50.0,151.0,68.49935836596165,13903632,3987500000.0,50.0,143.4189381954298,70.14678531823186
SAMN47830512,"Boston DITP North, MA (MU)",13981392,4221700000.0,50.0,151.0,78.72907881477484,13910673,3799200000.0,50.0,136.5841601624882,80.58736797060972
SAMN47830520,"Boston DITP North, MA (MU)",13981164,4221600000.0,50.0,151.0,69.4859561676657,13906135,3828200000.0,50.0,137.66223371914626,71.1919027776869
SAMN47830528,"Boston DITP North, MA (MU)",13982935,4222400000.0,50.0,151.0,66.79671772778914,13908912,3849900000.0,50.07138214692853,138.4099758845264,68.50759889079102
SAMN47830536,"Boston DITP North, MA (MU)",7999768,2415400000.0,49.0,151.0,57.96103288766684,7956433,2357200000.0,49.0,148.1500233207519,58.44510639879778
SAMN47830543,"Boston DITP North, MA (MU)",7996403,2414600000.0,50.0,151.0,47.12868032512971,7955313,2356700000.0,50.0,148.13283217140545,47.51927815855072
SAMN47830550,"Boston DITP North, MA (MU)",8001436,2416100000.0,51.87502268342833,151.0,37.14477770311838,7937952,2308800000.0,51.874959813312046,145.43616281630324,37.4199311395401
SAMN47830558,"Boston DITP North, MA (MU)",8001186,2416000000.0,50.124989095366615,151.0,81.52599223972034,7971108,2266000000.0,51.0,142.15193314404974,82.5068922916362
